,Date,Open,High,Low,Close,Volume,Week,Quarter,Month Name,Day Name,Day,Month
755,2020-01-02,154.365,156.231,153.928,156.133,23282199.176481,1,1,January,Thursday,2,1
754,2020-01-03,153.918,155.517,153.66,154.216,21726044.903921,1,1,January,Friday,3,1
753,2020-01-06,152.688,154.683,152.141,154.613,21422624.757354,2,1,January,Monday,6,1
752,2020-01-07,154.9,155.249,152.925,153.183,22507852.025438,2,1,January,Tuesday,7,1
751,2020-01-08,154.514,156.301,153.551,155.656,28556393.263876,2,1,January,Wednesday,8,1
750,2020-01-09,157.324,157.691,156.53,157.572,22012278.712898,2,1,January,Thursday,9,1
749,2020-01-10,158.296,158.694,156.677,156.837,21327215.502269,2,1,January,Friday,10,1
748,2020-01-13,157.254,158.783,156.757,158.753,22256116.802566,3,1,January,Monday,13,1
747,2020-01-14,158.852,159.061,157.214,157.612,24173221.434165,3,1,January,Tuesday,14,1
746,2020-01-15,158.097,159.399,158.049,158.654,22030710.057714,3,1,January,Wednesday,15,1
745,2020-01-16,159.776,161.613,159.489,161.543,24548230.50342,3,1,January,Thursday,16,1
744,2020-01-17,162.764,162.813,160.819,162.456,35355150.069155,3,1,January,Friday,17,1
743,2020-01-21,162.049,163.508,161.801,161.87,30361779.650123,4,1,January,Tuesday,21,1
742,2020-01-22,162.744,162.833,161.056,161.076,24829471.188765,4,1,January,Wednesday,22,1
741,2020-01-23,161.563,162.168,160.659,162.089,20243901.072954,4,1,January,Thursday,23,1
740,2020-01-24,162.853,162.873,159.875,160.431,25631109.78458,4,1,January,Friday,24,1
739,2020-01-27,156.649,158.842,155.754,157.76,32995930.881823,5,1,January,Monday,27,1
738,2020-01-28,159.239,161.126,158.545,160.849,25612413.523179,5,1,January,Tuesday,28,1
737,2020-01-29,163.181,164.065,161.066,163.36,36132897.822457,5,1,January,Wednesday,29,1
736,2020-01-30,169.207,169.207,166.03,167.976,53073852.144564,5,1,January,Thursday,30,1
735,2020-01-31,167.42,167.609,164.858,165.495,37176857.533118,5,1,January,Friday,31,1
734,2020-02-03,165.682,169.644,165.652,169.534,31011720.763746,6,1,February,Monday,3,2
